Front	JP訳	Label	説明
dilute	〜を薄める	語源／語根	di（離れて）＋[ラテン] luere（洗う）
jeopardy	危険	語源／語根	jeu（遊び）＋[フランス] parti（分ける）
linear	線形の	語源／語根	linea（線）＋[ラテン] -ar（形容詞）
counterfeit	偽造の	語源／語根	counter（反対に）＋[ラテン] facere（作る）
repertoire	レパートリー	語源／語根	re（再び）＋[フランス] partir（出発する）
proliferation	急増	語源／語根	proles（子孫）＋[ラテン] ferre（運ぶ）
fingerprint	指紋	語呂合わせ	語呂合わせ 「指にプリント」
dissolution	解散	語源／語根	dis（離れて）＋[ラテン] solvere（解く）
negligence	怠慢	語源／語根	neg（否定）＋[ラテン] legere（選ぶ）
bankruptcy	破産	語源／語根	banca（銀行）＋[イタリア] ruptus（破れる）
reminiscence	回想	語源／語根	re（再び）＋[ラテン] reminisci（思い出す）
prohibit	〜を禁止する	語源／語根	pro（前に）＋[ラテン] habere（持つ）
liquidate	〜を清算する	語源／語根	liquidus（液体の）＋[ラテン] -ate（する）
scar	傷跡	紛らわしい語	紛らわしい語 scare（怖がらせる）
diabetic	糖尿病の	語源／語根	diabetes（糖尿病）＋-ic（形容詞）
debris	がれき	語源／語根	de（離れて）＋[フランス] briser（壊す）
discriminating	識別力のある	語法	discriminating taste（識別力のある好み）【頻出】
sympathize	同情する	語源／語根	syn（共に）＋[ギリシャ] pathos（感情）
plausible	もっともらしい	語源／語根	plaudere（拍手する）＋[ラテン] -ible（できる）
ironic	皮肉な	語源／語根	eiron（皮肉）＋[ギリシャ] -ic（形容詞）
tumor	腫瘍	語源／語根	tumere（膨れる）＋[ラテン] -or（名詞）
tedious	退屈な	語呂合わせ	語呂合わせ 「手で酢をかける」
placid	穏やかな	語源／語根	placere（喜ばせる）＋[ラテン] -id（形容詞）
ethnology	民族学	語源／語根	ethnos（民族）＋[ギリシャ] -logy（学問）
acclaim	〜を称賛する	語源／語根	ad（〜に向かって）＋[ラテン] clamare（叫ぶ）
profound	深い	語源／語根	pro（前に）＋[ラテン] fundus（底）
disdain	〜を軽蔑する	語源／語根	dis（離れて）＋[ラテン] dignari（価値がある）
vigor	活力	語源／語根	vigere（活気がある）＋[ラテン] -or（名詞）
treaty	条約	語源／語根	tractare（扱う）＋[ラテン] -y（名詞）
submit	〜を提出する	語法	submit a proposal（提案を提出する）【頻出】
rebut	〜を反駁する	語源／語根	re（再び）＋[ラテン] battere（打つ）
meteorology	気象学	語源／語根	meteoron（空の物）＋[ギリシャ] -logy（学問）
fortification	要塞	語源／語根	fortis（強い）＋[ラテン] facere（作る）
discretion	裁量	語源／語根	dis（離れて）＋[ラテン] cernere（分ける）
wander	歩き回る	語呂合わせ	語呂合わせ 「ワンダーランドを歩く」
impromptu	即興の	語源／語根	in（〜の中で）＋[ラテン] promptu（用意）
contagious	伝染性の	語源／語根	con（共に）＋[ラテン] tangere（触れる）
veterinarian	獣医	語源／語根	veterinae（家畜）＋[ラテン] -arian（職業）
refurbish	〜を改装する	語源／語根	re（再び）＋[フランス] furbisher（磨く）
aggregate	総計の	語源／語根	ad（〜に向かって）＋[ラテン] gregare（集める）
elastic	弾力のある	語源／語根	elasticus（駆ける）＋[ギリシャ] -tic（形容詞）
wary	用心深い	同義語	cautious（用心深い）
judicious	賢明な	語源／語根	iudicium（判断）＋[ラテン] -ous（形容詞）
zinc	亜鉛	語呂合わせ	語呂合わせ 「ジンクで金庫」
vow	誓う	語源／語根	votum（誓い）＋[ラテン] -ar（動詞）
converse	会話する	語法	converse with（〜と会話する）【頻出】
strife	争い	語源／語根	strive（努力する）＋[古英語] -f（名詞）
remedy	治療	語法	remedy for（〜の治療）【頻出】
corrupt	腐敗する	語源／語根	cor（共に）＋[ラテン] rumpere（壊す）
memorialize	〜を記念する	語源／語根	memoria（記憶）＋[ラテン] -ize（する）
allocate	〜を割り当てる	語源／語根	ad（〜に向かって）＋[ラテン] locare（置く）
sewer	下水道	語源／語根	ex（外へ）＋[ラテン] aquarius（水の）
standpoint	観点	紛らわしい語	紛らわしい語 standpoint（立場）
paleontology	古生物学	語源／語根	paleo（古い）＋[ギリシャ] onta（存在する）
haunt	〜に出没する	語法	haunt a place（場所に出没する）【準頻出】
compile	〜を編集する	語源／語根	com（共に）＋[ラテン] pilare（集める）
uneasy	不安な	語呂合わせ	語呂合わせ 「犬、いい子で不安」
acute	鋭い	語源／語根	acutus（鋭い）＋[ラテン] -e（形容詞）
lick	〜を舐める	語呂合わせ	語呂合わせ 「リックが舐める」
censure	〜を非難する	語源／語根	censura（評価）＋[ラテン] -ure（動詞）
crude	粗野な	語源／語根	crudus（生の）＋[ラテン] -e（形容詞）
outlet	出口	語源／語根	out（外へ）＋let（小さいもの）
relief	救済	語源／語根	relieve（和らげる）＋[フランス] -ef（名詞）
acoustic	音響の	語源／語根	akouein（聞く）＋[ギリシャ] -tic（形容詞）
compel	〜を強制する	語法	compel A to do（Aに〜させる）【頻出】
hamper	〜を妨げる	紛らわしい語	紛らわしい語 hamper（かご）
nocturnal	夜行性の	語源／語根	nocturnus（夜）＋[ラテン] -al（形容詞）
amiable	愛想の良い	語源／語根	amicus（友達）＋[ラテン] -able（できる）
reserve	〜を予約する	語法	reserve a room（部屋を予約する）【頻出】
detect	〜を発見する	語源／語根	de（離れて）＋[ラテン] tegere（覆う）
abrasive	研磨剤	語源／語根	ab（離れて）＋[ラテン] radere（削る）
striking	印象的な	語呂合わせ	語呂合わせ 「ストライキが印象的」
deadlock	行き詰まり	語源／語根	dead（死）＋lock（鍵）
archetype	原型	語源／語根	archē（始まり）＋[ギリシャ] typos（型）
consensus	合意	語源／語根	con（共に）＋[ラテン] sensus（感じる）
frown	顔をしかめる	語呂合わせ	語呂合わせ 「ふらんと顔をしかめる」
blast	爆発	語源／語根	blasen（吹く）＋[ドイツ] -t（名詞）
intact	無傷の	語源／語根	in（否定）＋[ラテン] tangere（触れる）
cohesive	結束力のある	語源／語根	co（共に）＋[ラテン] haerere（くっつく）
acid	酸	語源／語根	acidus（酸っぱい）＋[ラテン] -e（名詞）
bearish	弱気の	語源／語根	bear（熊）＋-ish（形容詞）
indifferent	無関心な	語源／語根	in（否定）＋[ラテン] differre（異なる）
practicable	実行可能な	語源／語根	practicus（実践の）＋[ラテン] -able（できる）
recession	景気後退	語源／語根	re（後ろに）＋[ラテン] cedere（行く）
thatch	〜を草で葺く	語源／語根	thatch（草）＋[古英語] -e（動詞）
maneuver	〜を操作する	語源／語根	manus（手）＋[フランス] oeuvrer（働く）
antipathy	反感	語源／語根	anti（反対）＋[ギリシャ] pathos（感情）
indigestion	消化不良	語源／語根	in（否定）＋[ラテン] digestio（消化）
obsess	〜に取り憑く	語源／語根	ob（〜に対して）＋[ラテン] sedere（座る）
conclusive	決定的な	語呂合わせ	語呂合わせ 「このスリーブが決定的」
acquisition	取得	語源／語根	ad（〜に向かって）＋[ラテン] quaerere（求める）
armored	装甲の	語源／語根	armare（武装する）＋[ラテン] -ed（形容詞）
condone	〜を許す	語源／語根	con（共に）＋[ラテン] donare（与える）
captivity	捕われの身	語源／語根	captivus（捕虜）＋[ラテン] -ity（名詞）
turmoil	混乱	語源／語根	turme（混乱）＋[古英語] -il（名詞）
languish	弱る	語源／語根	languere（弱る）＋[ラテン] -ish（動詞）
uniformity	均一性	語源／語根	unus（1つ）＋[ラテン] forma（形）
patriot	愛国者	語源／語根	patri（父）＋[ギリシャ] -ot（名詞）
constituency	選挙区	語源／語根	con（共に）＋[ラテン] stitu（立）＋-ency（状態）
narrative	物語	同義語	story（物語）
embed	埋め込む	語呂合わせ	「エムベッドに石を埋め込む」
banal	陳腐な	語呂合わせ	「バナナはもう陳腐な果物」
contend	主張する	語法	contend that S V（〜と主張する）【頻出】
rigid	硬直した	同義語	inflexible（硬直した）
dissent	異議	語源／語根	dis（離れて）＋[ラテン] sent（感じる）
aloof	よそよそしい	語呂合わせ	「ある夫はよそよそしい」
divorce	離婚	語法	get a divorce（離婚する）【頻出】
critical	批判的な	語法	critical of（〜に批判的な）【頻出】
somber	重苦しい	同義語	gloomy（重苦しい）
reminiscent	思い出させる	語法	reminiscent of（〜を思い出させる）【頻出】
landfill	埋め立て地	語源／語根	land（土地）＋fill（埋める）
expel	追放する	語源／語根	ex（外へ）＋[ラテン] pel（追う）
sterilize	消毒する	語源／語根	steril（不毛）＋ize（する）
leak	漏れる	語法	leak out（漏れる）【準頻出】
apprehension	不安	語源／語根	ad（〜に向かって）＋prehend（掴む）
reclaimed land	埋立地	語法	reclaim land（土地を埋立てる）【準頻出】
disposal	処分	語法	dispose of（〜を処分する）【頻出】
mating season	繁殖期	語法	in mating season（繁殖期に）【まれ】
corrosive	腐食性の	語源／語根	cor（完全に）＋ros（かじる）＋-ive（性質）
